11:43:19 50 docs → 50 segments
11:43:41 [epoch 0/3000] nll=3.1481  best=inf
11:44:01 [epoch 1/3000] nll=6.1766  best=3.1481
11:44:22 [epoch 2/3000] nll=5.3072  best=3.1481
11:44:43 [epoch 3/3000] nll=4.0583  best=3.1481
11:45:04 [epoch 4/3000] nll=4.0425  best=3.1481
11:45:25 [epoch 5/3000] nll=3.6133  best=3.1481
11:45:46 [epoch 6/3000] nll=3.5092  best=3.1481
11:46:07 [epoch 7/3000] nll=3.4463  best=3.1481
11:46:28 [epoch 8/3000] nll=3.0923  best=3.1481
11:46:49 [epoch 9/3000] nll=3.0289  best=3.0923
11:47:11 [epoch 10/3000] nll=3.1198  best=3.0289
11:47:33 [epoch 11/3000] nll=2.9684  best=3.0289
11:47:54 [epoch 12/3000] nll=2.8242  best=2.9684
11:48:16 [epoch 13/3000] nll=2.7547  best=2.8242
11:48:37 [epoch 14/3000] nll=2.8367  best=2.7547
11:48:58 [epoch 15/3000] nll=2.7133  best=2.7547
11:49:19 [epoch 16/3000] nll=2.7584  best=2.7133
11:49:41 [epoch 17/3000] nll=2.6652  best=2.7133
11:50:02 [epoch 18/3000] nll=2.7166  best=2.6652
11:50:23 [epoch 19/3000] nll=2.6667  best=2.6652
11:50:44 [epoch 20/3000] nll=2.6508  best=2.6652
11:51:05 [epoch 21/3000] nll=2.5169  best=2.6508
11:51:27 [epoch 22/3000] nll=2.6711  best=2.5169
11:51:48 [epoch 23/3000] nll=2.4586  best=2.5169
11:52:09 [epoch 24/3000] nll=2.4906  best=2.4586
11:52:30 [epoch 25/3000] nll=2.5117  best=2.4586
11:52:52 [epoch 26/3000] nll=2.3056  best=2.4586
11:53:13 [epoch 27/3000] nll=2.4227  best=2.3056
11:53:34 [epoch 28/3000] nll=2.2589  best=2.3056
11:53:55 [epoch 29/3000] nll=2.2316  best=2.2589
11:54:17 [epoch 30/3000] nll=2.1598  best=2.2316
11:54:38 [epoch 31/3000] nll=2.1947  best=2.1598
11:54:59 [epoch 32/3000] nll=2.1231  best=2.1598
11:55:20 [epoch 33/3000] nll=2.1708  best=2.1231
11:55:42 [epoch 34/3000] nll=2.1503  best=2.1231
11:56:03 [epoch 35/3000] nll=2.1602  best=2.1231
11:56:24 [epoch 36/3000] nll=2.0963  best=2.1231
11:56:45 [epoch 37/3000] nll=1.9834  best=2.0963
11:57:06 [epoch 38/3000] nll=1.9310  best=1.9834
11:57:27 [epoch 39/3000] nll=1.8588  best=1.9310
11:57:49 [epoch 40/3000] nll=1.9285  best=1.8588
11:58:10 [epoch 41/3000] nll=1.8396  best=1.8588
11:58:31 [epoch 42/3000] nll=1.9687  best=1.8396
11:58:52 [epoch 43/3000] nll=2.0458  best=1.8396
11:59:14 [epoch 44/3000] nll=1.9054  best=1.8396
11:59:35 [epoch 45/3000] nll=1.9399  best=1.8396
11:59:56 [epoch 46/3000] nll=1.8622  best=1.8396
12:00:17 [epoch 47/3000] nll=1.8005  best=1.8396
12:00:38 [epoch 48/3000] nll=1.7032  best=1.8005
12:01:00 [epoch 49/3000] nll=1.6462  best=1.7032
12:01:21 [epoch 50/3000] nll=1.7392  best=1.6462
12:01:42 [epoch 51/3000] nll=1.7233  best=1.6462
12:02:03 [epoch 52/3000] nll=1.6367  best=1.6462
12:02:24 [epoch 53/3000] nll=1.6805  best=1.6367
12:02:46 [epoch 54/3000] nll=1.6461  best=1.6367
12:03:07 [epoch 55/3000] nll=1.4804  best=1.6367
12:03:28 [epoch 56/3000] nll=1.4565  best=1.4804
12:03:49 [epoch 57/3000] nll=1.5885  best=1.4565
12:04:11 [epoch 58/3000] nll=1.5113  best=1.4565
12:04:32 [epoch 59/3000] nll=1.5390  best=1.4565
12:04:53 [epoch 60/3000] nll=1.4068  best=1.4565
12:05:14 [epoch 61/3000] nll=1.2992  best=1.4068
12:05:35 [epoch 62/3000] nll=1.3383  best=1.2992
12:05:57 [epoch 63/3000] nll=1.2743  best=1.2992
12:06:18 [epoch 64/3000] nll=1.2221  best=1.2743
12:06:39 [epoch 65/3000] nll=1.2811  best=1.2221
12:07:00 [epoch 66/3000] nll=1.2095  best=1.2221
12:07:21 [epoch 67/3000] nll=1.1482  best=1.2095
12:07:43 [epoch 68/3000] nll=1.0427  best=1.1482
12:08:04 [epoch 69/3000] nll=1.0535  best=1.0427
12:08:25 [epoch 70/3000] nll=1.0321  best=1.0427
12:08:46 [epoch 71/3000] nll=0.9902  best=1.0321
12:09:08 [epoch 72/3000] nll=0.9617  best=0.9902
12:09:29 [epoch 73/3000] nll=0.9105  best=0.9617
12:09:50 [epoch 74/3000] nll=0.9536  best=0.9105
12:10:11 [epoch 75/3000] nll=0.8493  best=0.9105
12:10:33 [epoch 76/3000] nll=0.8165  best=0.8493
12:10:54 [epoch 77/3000] nll=0.8870  best=0.8165
12:11:15 [epoch 78/3000] nll=0.8312  best=0.8165
12:11:36 [epoch 79/3000] nll=0.8440  best=0.8165
12:11:58 [epoch 80/3000] nll=0.8175  best=0.8165
12:12:19 [epoch 81/3000] nll=0.7448  best=0.8165
12:12:40 [epoch 82/3000] nll=0.7194  best=0.7448
12:13:01 [epoch 83/3000] nll=0.7469  best=0.7194
12:13:23 [epoch 84/3000] nll=0.6777  best=0.7194
12:13:44 [epoch 85/3000] nll=0.7298  best=0.6777
12:14:05 [epoch 86/3000] nll=0.6845  best=0.6777
12:14:26 [epoch 87/3000] nll=0.6933  best=0.6777
12:14:48 [epoch 88/3000] nll=0.6193  best=0.6777
12:15:09 [epoch 89/3000] nll=0.5660  best=0.6193
12:15:30 [epoch 90/3000] nll=0.5423  best=0.5660
12:15:51 [epoch 91/3000] nll=0.5309  best=0.5423
12:16:13 [epoch 92/3000] nll=0.5206  best=0.5309
12:16:34 [epoch 93/3000] nll=0.4663  best=0.5206
12:16:55 [epoch 94/3000] nll=0.4656  best=0.4663
12:17:16 [epoch 95/3000] nll=0.4485  best=0.4656
12:17:38 [epoch 96/3000] nll=0.4766  best=0.4485
12:17:59 [epoch 97/3000] nll=0.4398  best=0.4485
