11:43:19 50 docs → 193 segments
11:44:33 [epoch 0/3000] nll=3.5980  best=inf
11:45:47 [epoch 1/3000] nll=7.1422  best=3.5980
11:47:03 [epoch 2/3000] nll=5.5074  best=3.5980
11:48:20 [epoch 3/3000] nll=4.5744  best=3.5980
11:49:35 [epoch 4/3000] nll=4.0756  best=3.5980
11:50:50 [epoch 5/3000] nll=3.9984  best=3.5980
11:52:05 [epoch 6/3000] nll=3.8291  best=3.5980
11:53:20 [epoch 7/3000] nll=3.5057  best=3.5980
11:54:36 [epoch 8/3000] nll=3.5114  best=3.5057
11:55:51 [epoch 9/3000] nll=3.4258  best=3.5057
11:57:06 [epoch 10/3000] nll=3.4147  best=3.4258
11:58:21 [epoch 11/3000] nll=3.4673  best=3.4147
11:59:36 [epoch 12/3000] nll=3.3628  best=3.4147
12:00:51 [epoch 13/3000] nll=3.3031  best=3.3628
12:02:06 [epoch 14/3000] nll=3.1455  best=3.3031
12:03:21 [epoch 15/3000] nll=3.1423  best=3.1455
12:04:36 [epoch 16/3000] nll=3.0935  best=3.1423
12:05:51 [epoch 17/3000] nll=2.9870  best=3.0935
12:07:06 [epoch 18/3000] nll=2.9634  best=2.9870
12:08:21 [epoch 19/3000] nll=2.8706  best=2.9634
12:09:36 [epoch 20/3000] nll=2.7949  best=2.8706
12:10:51 [epoch 21/3000] nll=2.7951  best=2.7949
12:12:06 [epoch 22/3000] nll=2.7027  best=2.7949
12:13:21 [epoch 23/3000] nll=2.6995  best=2.7027
12:14:36 [epoch 24/3000] nll=2.6294  best=2.6995
12:15:51 [epoch 25/3000] nll=2.5475  best=2.6294
12:17:06 [epoch 26/3000] nll=2.5071  best=2.5475
12:18:21 [epoch 27/3000] nll=2.5256  best=2.5071
12:19:36 [epoch 28/3000] nll=2.4196  best=2.5071
12:20:51 [epoch 29/3000] nll=2.4567  best=2.4196
12:22:06 [epoch 30/3000] nll=2.3475  best=2.4196
12:23:21 [epoch 31/3000] nll=2.3599  best=2.3475
12:24:36 [epoch 32/3000] nll=2.2800  best=2.3475
12:25:52 [epoch 33/3000] nll=2.2486  best=2.2800
12:27:07 [epoch 34/3000] nll=2.2270  best=2.2486
12:28:22 [epoch 35/3000] nll=2.1244  best=2.2270
12:29:37 [epoch 36/3000] nll=2.0877  best=2.1244
12:30:52 [epoch 37/3000] nll=2.0821  best=2.0877
12:32:07 [epoch 38/3000] nll=2.0565  best=2.0821
12:33:22 [epoch 39/3000] nll=2.0411  best=2.0565
12:34:37 [epoch 40/3000] nll=1.9978  best=2.0411
12:35:53 [epoch 41/3000] nll=1.9295  best=1.9978
12:37:08 [epoch 42/3000] nll=2.0016  best=1.9295
12:38:23 [epoch 43/3000] nll=1.9125  best=1.9295
12:39:38 [epoch 44/3000] nll=1.9074  best=1.9125
12:40:53 [epoch 45/3000] nll=1.8543  best=1.9074
12:42:09 [epoch 46/3000] nll=1.8747  best=1.8543
12:43:24 [epoch 47/3000] nll=1.8301  best=1.8543
12:44:39 [epoch 48/3000] nll=1.7517  best=1.8301
12:45:54 [epoch 49/3000] nll=1.7211  best=1.7517
12:47:09 [epoch 50/3000] nll=1.7181  best=1.7211
12:48:24 [epoch 51/3000] nll=1.6541  best=1.7181
12:49:39 [epoch 52/3000] nll=1.6288  best=1.6541
12:50:54 [epoch 53/3000] nll=1.6012  best=1.6288
12:52:09 [epoch 54/3000] nll=1.4711  best=1.6012
12:53:24 [epoch 55/3000] nll=1.4821  best=1.4711
12:54:39 [epoch 56/3000] nll=1.4841  best=1.4711
12:55:54 [epoch 57/3000] nll=1.4435  best=1.4711
12:57:09 [epoch 58/3000] nll=1.5165  best=1.4435
12:58:24 [epoch 59/3000] nll=1.3840  best=1.4435
12:59:39 [epoch 60/3000] nll=1.3930  best=1.3840
13:00:54 [epoch 61/3000] nll=1.3416  best=1.3840
13:02:09 [epoch 62/3000] nll=1.3309  best=1.3416
13:03:24 [epoch 63/3000] nll=1.2633  best=1.3309
13:04:39 [epoch 64/3000] nll=1.2287  best=1.2633
13:05:54 [epoch 65/3000] nll=1.2300  best=1.2287
