18:12:02 50 docs → 50 segments
18:12:24 [epoch 0/3000] nll=3.1481  best=inf  con=3.9145
18:12:46 [epoch 1/3000] nll=6.1434  best=3.1481  con=3.7508
18:13:08 [epoch 2/3000] nll=5.4050  best=3.1481  con=3.4520
18:13:29 [epoch 3/3000] nll=4.1655  best=3.1481  con=3.2100
18:13:51 [epoch 4/3000] nll=4.0667  best=3.1481  con=3.0147
18:14:13 [epoch 5/3000] nll=3.9836  best=3.1481  con=2.8236
18:14:35 [epoch 6/3000] nll=3.9830  best=3.1481  con=2.6960
18:14:56 [epoch 7/3000] nll=3.7556  best=3.1481  con=2.5670
18:15:18 [epoch 8/3000] nll=3.5786  best=3.1481  con=2.4455
18:15:40 [epoch 9/3000] nll=3.3983  best=3.1481  con=2.3470
18:16:02 [epoch 10/3000] nll=3.3222  best=3.1481  con=2.2531
18:16:23 [epoch 11/3000] nll=3.2584  best=3.1481  con=2.1887
18:16:45 [epoch 12/3000] nll=3.1530  best=3.1481  con=2.1259
18:17:07 [epoch 13/3000] nll=3.1733  best=3.1481  con=2.0445
18:17:29 [epoch 14/3000] nll=3.2648  best=3.1481  con=1.9833
18:17:51 [epoch 15/3000] nll=3.2545  best=3.1481  con=1.9436
18:18:12 [epoch 16/3000] nll=3.0639  best=3.1481  con=1.8830
18:18:34 [epoch 17/3000] nll=3.0347  best=3.0639  con=1.8225
18:18:56 [epoch 18/3000] nll=3.0286  best=3.0347  con=1.7626
18:19:18 [epoch 19/3000] nll=2.8753  best=3.0286  con=1.7156
18:19:40 [epoch 20/3000] nll=2.7959  best=2.8753  con=1.6703
18:20:02 [epoch 21/3000] nll=2.7578  best=2.7959  con=1.6547
18:20:23 [epoch 22/3000] nll=2.6680  best=2.7578  con=1.6295
18:20:45 [epoch 23/3000] nll=2.8584  best=2.6680  con=1.6100
18:21:07 [epoch 24/3000] nll=2.6706  best=2.6680  con=1.5983
18:21:29 [epoch 25/3000] nll=2.5359  best=2.6680  con=1.5763
18:21:51 [epoch 26/3000] nll=2.6045  best=2.5359  con=1.5551
18:22:12 [epoch 27/3000] nll=2.6097  best=2.5359  con=1.5465
18:22:34 [epoch 28/3000] nll=2.4331  best=2.5359  con=1.5314
18:22:56 [epoch 29/3000] nll=2.4175  best=2.4331  con=1.5037
18:23:18 [epoch 30/3000] nll=2.3848  best=2.4175  con=1.4819
18:23:40 [epoch 31/3000] nll=2.3945  best=2.3848  con=1.4750
18:24:01 [epoch 32/3000] nll=2.2831  best=2.3848  con=1.4616
18:24:23 [epoch 33/3000] nll=2.2663  best=2.2831  con=1.4498
18:24:45 [epoch 34/3000] nll=2.1541  best=2.2663  con=1.4459
