08:25:14 5 docs → 16 segments
08:25:21 [epoch 0/300] nll=3.1797  best=inf  con=2.8174
08:25:27 [epoch 1/300] nll=4.1250  best=3.1797  con=1.9774
08:25:31 [epoch 2/300] nll=3.2656  best=3.1797  con=1.4709
08:25:36 [epoch 3/300] nll=3.1924  best=3.1797  con=1.0478
08:25:40 [epoch 4/300] nll=2.8613  best=3.1797  con=0.8567
08:25:45 [epoch 5/300] nll=2.9580  best=2.8613  con=0.6840
08:25:49 [epoch 6/300] nll=2.8389  best=2.8613  con=0.5890
08:25:54 [epoch 7/300] nll=2.7051  best=2.8389  con=0.5752
08:25:58 [epoch 8/300] nll=2.7798  best=2.7051  con=0.5322
08:26:03 [epoch 9/300] nll=2.3970  best=2.7051  con=0.5217
08:26:07 [epoch 10/300] nll=2.3750  best=2.3970  con=0.5251
08:26:12 [epoch 11/300] nll=2.2778  best=2.3750  con=0.5321
08:26:16 [epoch 12/300] nll=2.2295  best=2.2778  con=0.5403
08:26:20 [epoch 13/300] nll=2.4697  best=2.2295  con=0.5510
08:26:25 [epoch 14/300] nll=2.7231  best=2.2295  con=0.5576
08:26:29 [epoch 15/300] nll=2.4536  best=2.2295  con=0.5856
