13:54:37 50 docs → 193 segments
13:55:38 [epoch 0/3000] nll=5.2498  best=inf  con=0.1421
13:56:40 [epoch 1/3000] nll=8.8178  best=5.2498  con=0.1379
13:57:42 [epoch 2/3000] nll=7.0379  best=5.2498  con=0.1354
13:58:44 [epoch 3/3000] nll=6.4719  best=5.2498  con=0.1289
13:59:46 [epoch 4/3000] nll=6.0066  best=5.2498  con=0.1197
14:00:48 [epoch 5/3000] nll=5.3765  best=5.2498  con=0.1105
14:01:50 [epoch 6/3000] nll=5.1902  best=5.2498  con=0.1056
14:02:53 [epoch 7/3000] nll=4.5604  best=5.1902  con=0.1071
14:03:55 [epoch 8/3000] nll=4.2814  best=4.5604  con=0.0955
14:04:57 [epoch 9/3000] nll=4.0199  best=4.2814  con=0.0946
14:06:00 [epoch 10/3000] nll=3.7617  best=4.0199  con=0.0895
14:07:02 [epoch 11/3000] nll=3.5875  best=3.7617  con=0.0872
14:08:04 [epoch 12/3000] nll=3.4033  best=3.5875  con=0.0771
14:09:06 [epoch 13/3000] nll=3.3416  best=3.4033  con=0.0717
14:10:09 [epoch 14/3000] nll=3.1202  best=3.3416  con=0.0669
14:11:11 [epoch 15/3000] nll=3.1529  best=3.1202  con=0.0630
14:12:13 [epoch 16/3000] nll=2.9938  best=3.1202  con=0.0608
14:13:15 [epoch 17/3000] nll=2.9444  best=2.9938  con=0.0588
14:14:18 [epoch 18/3000] nll=2.7910  best=2.9444  con=0.0553
14:15:20 [epoch 19/3000] nll=2.7661  best=2.7910  con=0.0536
14:16:22 [epoch 20/3000] nll=2.7049  best=2.7661  con=0.0506
14:17:25 [epoch 21/3000] nll=2.5316  best=2.7049  con=0.0500
14:18:27 [epoch 22/3000] nll=2.4533  best=2.5316  con=0.0480
14:19:29 [epoch 23/3000] nll=2.3914  best=2.4533  con=0.0459
14:20:31 [epoch 24/3000] nll=2.2565  best=2.3914  con=0.0445
14:21:34 [epoch 25/3000] nll=2.2438  best=2.2565  con=0.0444
14:22:36 [epoch 26/3000] nll=2.1830  best=2.2438  con=0.0425
14:23:38 [epoch 27/3000] nll=2.1420  best=2.1830  con=0.0425
14:24:41 [epoch 28/3000] nll=2.0768  best=2.1420  con=0.0422
14:25:43 [epoch 29/3000] nll=2.0599  best=2.0768  con=0.0407
14:26:45 [epoch 30/3000] nll=1.9564  best=2.0599  con=0.0401
14:27:47 [epoch 31/3000] nll=2.0057  best=1.9564  con=0.0390
14:28:49 [epoch 32/3000] nll=1.8517  best=1.9564  con=0.0389
14:29:52 [epoch 33/3000] nll=1.7765  best=1.8517  con=0.0386
14:30:54 [epoch 34/3000] nll=1.7002  best=1.7765  con=0.0383
14:31:56 [epoch 35/3000] nll=1.7070  best=1.7002  con=0.0375
14:32:58 [epoch 36/3000] nll=1.5364  best=1.7002  con=0.0378
14:34:00 [epoch 37/3000] nll=1.6124  best=1.5364  con=0.0371
14:35:02 [epoch 38/3000] nll=1.4835  best=1.5364  con=0.0362
14:36:04 [epoch 39/3000] nll=1.4233  best=1.4835  con=0.0360
14:37:07 [epoch 40/3000] nll=1.3618  best=1.4233  con=0.0354
14:38:09 [epoch 41/3000] nll=1.2295  best=1.3618  con=0.0358
14:39:11 [epoch 42/3000] nll=1.2251  best=1.2295  con=0.0350
14:40:13 [epoch 43/3000] nll=1.1975  best=1.2251  con=0.0351
14:41:15 [epoch 44/3000] nll=1.1461  best=1.1975  con=0.0353
14:42:18 [epoch 45/3000] nll=1.0849  best=1.1461  con=0.0344
14:43:20 [epoch 46/3000] nll=1.0191  best=1.0849  con=0.0336
14:44:22 [epoch 47/3000] nll=1.0546  best=1.0191  con=0.0333
14:45:24 [epoch 48/3000] nll=0.9237  best=1.0191  con=0.0334
14:46:26 [epoch 49/3000] nll=0.8850  best=0.9237  con=0.0335
14:47:28 [epoch 50/3000] nll=0.8827  best=0.8850  con=0.0334
14:48:31 [epoch 51/3000] nll=0.8271  best=0.8827  con=0.0332
14:49:33 [epoch 52/3000] nll=0.7856  best=0.8271  con=0.0333
14:50:35 [epoch 53/3000] nll=0.8324  best=0.7856  con=0.0331
14:51:37 [epoch 54/3000] nll=0.7676  best=0.7856  con=0.0320
14:52:39 [epoch 55/3000] nll=0.7422  best=0.7676  con=0.0317
14:53:41 [epoch 56/3000] nll=0.7042  best=0.7422  con=0.0310
14:54:44 [epoch 57/3000] nll=0.6808  best=0.7042  con=0.0314
14:55:46 [epoch 58/3000] nll=0.6598  best=0.6808  con=0.0308
14:56:48 [epoch 59/3000] nll=0.6477  best=0.6598  con=0.0301
14:57:50 [epoch 60/3000] nll=0.5691  best=0.6477  con=0.0298
14:58:53 [epoch 61/3000] nll=0.5464  best=0.5691  con=0.0300
14:59:55 [epoch 62/3000] nll=0.5961  best=0.5464  con=0.0297
15:00:57 [epoch 63/3000] nll=0.5408  best=0.5464  con=0.0298
15:01:59 [epoch 64/3000] nll=0.5571  best=0.5408  con=0.0299
15:03:01 [epoch 65/3000] nll=0.5133  best=0.5408  con=0.0294
15:04:03 [epoch 66/3000] nll=0.4798  best=0.5133  con=0.0295
15:05:05 [epoch 67/3000] nll=0.4639  best=0.4798  con=0.0297
15:06:08 [epoch 68/3000] nll=0.4363  best=0.4639  con=0.0298
15:07:10 [epoch 69/3000] nll=0.4490  best=0.4363  con=0.0296
15:08:12 [epoch 70/3000] nll=0.4172  best=0.4363  con=0.0294
15:09:14 [epoch 71/3000] nll=0.3694  best=0.4172  con=0.0292
15:10:16 [epoch 72/3000] nll=0.3474  best=0.3694  con=0.0295
15:11:19 [epoch 73/3000] nll=0.3437  best=0.3474  con=0.0290
15:12:21 [epoch 74/3000] nll=0.3282  best=0.3437  con=0.0288
15:13:23 [epoch 75/3000] nll=0.3464  best=0.3282  con=0.0288
15:14:25 [epoch 76/3000] nll=0.3131  best=0.3282  con=0.0285
15:15:27 [epoch 77/3000] nll=0.2987  best=0.3131  con=0.0283
15:16:29 [epoch 78/3000] nll=0.2930  best=0.2987  con=0.0278
15:17:32 [epoch 79/3000] nll=0.2943  best=0.2930  con=0.0283
15:18:34 [epoch 80/3000] nll=0.2783  best=0.2930  con=0.0284
15:19:36 [epoch 81/3000] nll=0.2506  best=0.2783  con=0.0282
15:20:38 [epoch 82/3000] nll=0.2476  best=0.2506  con=0.0279
15:21:40 [epoch 83/3000] nll=0.2486  best=0.2476  con=0.0282
15:22:42 [epoch 84/3000] nll=0.2271  best=0.2476  con=0.0276
15:23:45 [epoch 85/3000] nll=0.2072  best=0.2271  con=0.0275
15:24:47 [epoch 86/3000] nll=0.1972  best=0.2072  con=0.0277
15:25:49 [epoch 87/3000] nll=0.1917  best=0.1972  con=0.0275
15:26:51 [epoch 88/3000] nll=0.1774  best=0.1917  con=0.0271
15:27:53 [epoch 89/3000] nll=0.1738  best=0.1774  con=0.0273
15:28:56 [epoch 90/3000] nll=0.1712  best=0.1738  con=0.0272
15:29:58 [epoch 91/3000] nll=0.1818  best=0.1712  con=0.0272
15:31:00 [epoch 92/3000] nll=0.1604  best=0.1712  con=0.0279
15:32:02 [epoch 93/3000] nll=0.1675  best=0.1604  con=0.0269
15:33:04 [epoch 94/3000] nll=0.1638  best=0.1604  con=0.0268
15:34:06 [epoch 95/3000] nll=0.1543  best=0.1604  con=0.0265
15:35:08 [epoch 96/3000] nll=0.1450  best=0.1543  con=0.0266
15:36:10 [epoch 97/3000] nll=0.1341  best=0.1450  con=0.0263
15:37:13 [epoch 98/3000] nll=0.1477  best=0.1341  con=0.0269
15:38:15 [epoch 99/3000] nll=0.1277  best=0.1341  con=0.0267
15:39:17 [epoch 100/3000] nll=0.1306  best=0.1277  con=0.0269
15:40:19 [epoch 101/3000] nll=0.1269  best=0.1277  con=0.0267
15:41:21 [epoch 102/3000] nll=0.1234  best=0.1269  con=0.0264
15:42:24 [epoch 103/3000] nll=0.1123  best=0.1234  con=0.0264
15:43:26 [epoch 104/3000] nll=0.1135  best=0.1123  con=0.0263
15:44:28 [epoch 105/3000] nll=0.1219  best=0.1123  con=0.0268
15:45:30 [epoch 106/3000] nll=0.1256  best=0.1123  con=0.0260
15:46:32 [epoch 107/3000] nll=0.1197  best=0.1123  con=0.0260
15:47:34 [epoch 108/3000] nll=0.1168  best=0.1123  con=0.0265
15:48:36 [epoch 109/3000] nll=0.1084  best=0.1123  con=0.0259
15:49:38 [epoch 110/3000] nll=0.1135  best=0.1084  con=0.0259
15:50:40 [epoch 111/3000] nll=0.1033  best=0.1084  con=0.0263
15:51:42 [epoch 112/3000] nll=0.1035  best=0.1033  con=0.0260
15:52:44 [epoch 113/3000] nll=0.1210  best=0.1033  con=0.0256
15:53:46 [epoch 114/3000] nll=0.1049  best=0.1033  con=0.0255
15:54:48 [epoch 115/3000] nll=0.1314  best=0.1033  con=0.0257
15:55:50 [epoch 116/3000] nll=0.1023  best=0.1033  con=0.0255
15:56:53 [epoch 117/3000] nll=0.0960  best=0.1023  con=0.0255
15:57:55 [epoch 118/3000] nll=0.0883  best=0.0960  con=0.0262
15:58:57 [epoch 119/3000] nll=0.0860  best=0.0883  con=0.0260
15:59:59 [epoch 120/3000] nll=0.0864  best=0.0860  con=0.0261
16:01:01 [epoch 121/3000] nll=0.0954  best=0.0860  con=0.0258
16:02:03 [epoch 122/3000] nll=0.0874  best=0.0860  con=0.0258
16:03:05 [epoch 123/3000] nll=0.0883  best=0.0860  con=0.0261
16:04:07 [epoch 124/3000] nll=0.0792  best=0.0860  con=0.0255
16:05:10 [epoch 125/3000] nll=0.1376  best=0.0792  con=0.0255
16:06:12 [epoch 126/3000] nll=0.0862  best=0.0792  con=0.0252
16:07:14 [epoch 127/3000] nll=0.0882  best=0.0792  con=0.0256
16:08:16 [epoch 128/3000] nll=0.1112  best=0.0792  con=0.0250
16:09:18 [epoch 129/3000] nll=0.0898  best=0.0792  con=0.0252
16:10:20 [epoch 130/3000] nll=0.0949  best=0.0792  con=0.0258
16:11:22 [epoch 131/3000] nll=0.0821  best=0.0792  con=0.0255
16:12:24 [epoch 132/3000] nll=0.0831  best=0.0792  con=0.0253
16:13:26 [epoch 133/3000] nll=0.0837  best=0.0792  con=0.0250
16:14:28 [epoch 134/3000] nll=0.0711  best=0.0792  con=0.0251
16:15:30 [epoch 135/3000] nll=0.0664  best=0.0711  con=0.0253
16:16:32 [epoch 136/3000] nll=0.0684  best=0.0664  con=0.0250
16:17:34 [epoch 137/3000] nll=0.0679  best=0.0664  con=0.0252
16:18:36 [epoch 138/3000] nll=0.0664  best=0.0664  con=0.0251
16:19:39 [epoch 139/3000] nll=0.0645  best=0.0664  con=0.0253
16:20:41 [epoch 140/3000] nll=0.0923  best=0.0645  con=0.0255
16:21:43 [epoch 141/3000] nll=0.0747  best=0.0645  con=0.0253
16:22:45 [epoch 142/3000] nll=0.0631  best=0.0645  con=0.0249
16:23:47 [epoch 143/3000] nll=0.0645  best=0.0631  con=0.0250
16:24:49 [epoch 144/3000] nll=0.0653  best=0.0631  con=0.0247
16:25:51 [epoch 145/3000] nll=0.0590  best=0.0631  con=0.0246
16:26:53 [epoch 146/3000] nll=0.0548  best=0.0590  con=0.0250
16:27:56 [epoch 147/3000] nll=0.0596  best=0.0548  con=0.0249
16:28:58 [epoch 148/3000] nll=0.0608  best=0.0548  con=0.0250
16:30:00 [epoch 149/3000] nll=0.0531  best=0.0548  con=0.0251
16:31:02 [epoch 150/3000] nll=0.0545  best=0.0531  con=0.0248
16:32:04 [epoch 151/3000] nll=0.0489  best=0.0531  con=0.0246
16:33:06 [epoch 152/3000] nll=0.0472  best=0.0489  con=0.0245
16:34:08 [epoch 153/3000] nll=0.0543  best=0.0472  con=0.0243
16:35:10 [epoch 154/3000] nll=0.0591  best=0.0472  con=0.0247
16:36:13 [epoch 155/3000] nll=0.0552  best=0.0472  con=0.0250
16:37:15 [epoch 156/3000] nll=0.0509  best=0.0472  con=0.0245
16:38:17 [epoch 157/3000] nll=0.0541  best=0.0472  con=0.0250
16:39:19 [epoch 158/3000] nll=0.0544  best=0.0472  con=0.0248
16:40:21 [epoch 159/3000] nll=0.0456  best=0.0472  con=0.0248
16:41:23 [epoch 160/3000] nll=0.0416  best=0.0456  con=0.0245
16:42:25 [epoch 161/3000] nll=0.0407  best=0.0416  con=0.0245
16:43:27 [epoch 162/3000] nll=0.0427  best=0.0407  con=0.0248
16:44:29 [epoch 163/3000] nll=0.0465  best=0.0407  con=0.0245
16:45:31 [epoch 164/3000] nll=0.0472  best=0.0407  con=0.0248
16:46:33 [epoch 165/3000] nll=0.0392  best=0.0407  con=0.0248
16:47:36 [epoch 166/3000] nll=0.0395  best=0.0392  con=0.0250
16:48:38 [epoch 167/3000] nll=0.0455  best=0.0392  con=0.0244
16:49:40 [epoch 168/3000] nll=0.0427  best=0.0392  con=0.0243
16:50:42 [epoch 169/3000] nll=0.0418  best=0.0392  con=0.0243
16:51:44 [epoch 170/3000] nll=0.0421  best=0.0392  con=0.0246
16:52:46 [epoch 171/3000] nll=0.0467  best=0.0392  con=0.0244
16:53:48 [epoch 172/3000] nll=0.0457  best=0.0392  con=0.0244
16:54:50 [epoch 173/3000] nll=0.0487  best=0.0392  con=0.0246
16:55:52 [epoch 174/3000] nll=0.0396  best=0.0392  con=0.0246
16:56:54 [epoch 175/3000] nll=0.0404  best=0.0392  con=0.0245
16:57:56 [epoch 176/3000] nll=0.0400  best=0.0392  con=0.0246
16:58:58 [epoch 177/3000] nll=0.0438  best=0.0392  con=0.0248
17:00:00 [epoch 178/3000] nll=0.0493  best=0.0392  con=0.0248
17:01:02 [epoch 179/3000] nll=0.0495  best=0.0392  con=0.0245
17:02:04 [epoch 180/3000] nll=0.0466  best=0.0392  con=0.0241
17:03:06 [epoch 181/3000] nll=0.0459  best=0.0392  con=0.0248
17:04:08 [epoch 182/3000] nll=0.0452  best=0.0392  con=0.0245
17:05:10 [epoch 183/3000] nll=0.0444  best=0.0392  con=0.0244
17:06:12 [epoch 184/3000] nll=0.0466  best=0.0392  con=0.0242
17:07:14 [epoch 185/3000] nll=0.0427  best=0.0392  con=0.0244
17:08:16 [epoch 186/3000] nll=0.0376  best=0.0392  con=0.0246
17:09:19 [epoch 187/3000] nll=0.0368  best=0.0376  con=0.0242
17:10:21 [epoch 188/3000] nll=0.0324  best=0.0368  con=0.0242
17:11:23 [epoch 189/3000] nll=0.0335  best=0.0324  con=0.0239
17:12:25 [epoch 190/3000] nll=0.0329  best=0.0324  con=0.0240
17:13:27 [epoch 191/3000] nll=0.0322  best=0.0324  con=0.0242
17:14:29 [epoch 192/3000] nll=0.0431  best=0.0322  con=0.0242
17:15:31 [epoch 193/3000] nll=0.0379  best=0.0322  con=0.0244
17:16:33 [epoch 194/3000] nll=0.0391  best=0.0322  con=0.0246
17:17:35 [epoch 195/3000] nll=0.0339  best=0.0322  con=0.0244
17:18:37 [epoch 196/3000] nll=0.0308  best=0.0322  con=0.0243
17:19:39 [epoch 197/3000] nll=0.0302  best=0.0308  con=0.0243
17:20:42 [epoch 198/3000] nll=0.0331  best=0.0302  con=0.0244
17:21:44 [epoch 199/3000] nll=0.0313  best=0.0302  con=0.0245
17:22:46 [epoch 200/3000] nll=0.0284  best=0.0302  con=0.0244
17:23:48 [epoch 201/3000] nll=0.0303  best=0.0284  con=0.0245
17:24:50 [epoch 202/3000] nll=0.0403  best=0.0284  con=0.0242
