05:47:09 50 docs → 193 segments
05:48:07 [epoch 0/3000] nll=4.3721  best=inf  con=0.1456
05:49:03 [epoch 1/3000] nll=6.6841  best=4.3721  con=0.1416
05:49:59 [epoch 2/3000] nll=4.7083  best=4.3721  con=0.1355
05:50:55 [epoch 3/3000] nll=4.0656  best=4.3721  con=0.1269
05:51:52 [epoch 4/3000] nll=3.8865  best=4.0656  con=0.1147
05:52:48 [epoch 5/3000] nll=3.7299  best=3.8865  con=0.1036
05:53:47 [epoch 6/3000] nll=3.5622  best=3.7299  con=0.0967
05:54:43 [epoch 7/3000] nll=3.4771  best=3.5622  con=0.0874
05:55:30 [epoch 8/3000] nll=3.3740  best=3.4771  con=0.0827
05:56:11 [epoch 9/3000] nll=3.4179  best=3.3740  con=0.0728
05:56:52 [epoch 10/3000] nll=3.3798  best=3.3740  con=0.0673
05:57:32 [epoch 11/3000] nll=3.1932  best=3.3740  con=0.0629
05:58:12 [epoch 12/3000] nll=3.1105  best=3.1932  con=0.0598
05:58:53 [epoch 13/3000] nll=3.1051  best=3.1105  con=0.0577
